defined_class	prefLabel	Synonyms_from_taxonomy	Gross_cell_type	Taxon	Brain_region	Cluster_ID	Alias_citations	Minimal_markers	Allen_markers	Brain_region_abbv	Species_abbv	Individual	part_of	has_soma_location	homologous_to
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_1	Lamp5-like Pax6	Lamp5 Pax6|Lamp5-like Pax6|Lamp5_4|RNAseq 001	CL:0011005	NCBITaxon:10090	UBERON:0001384	CS202002013_1	PMID:34616066|PMID:34616062|PMID:34616066	ensembl:ENSMUSG00000024867|ensembl:ENSMUSG00000027168	ensembl:ENSMUSG00000027168	MOp	Mouse	AllenDend:CS202002013_1		UBERON:0001384	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_154|http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_7
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_2	Lamp5-like Egln3_1	Alpha7 cell|Lamp5 Egln3_1|Lamp5-like Egln3_1|RNAseq 002|Sncg_4	CL:0011005	NCBITaxon:10090	UBERON:0001384	CS202002013_2	PMID:34616066|PMID:34616062|PMID:33184512	ensembl:ENSMUSG00000024598|ensembl:ENSMUSG00000030525|ensembl:ENSMUSG00000059187	ensembl:ENSMUSG00000035105	MOp	Mouse	AllenDend:CS202002013_2		UBERON:0001384	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_158|http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_123
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_3	Lamp5 Egln3_2	Canopy cell|Lamp5 Egln3_2|RNAseq 003	CL:0011005	NCBITaxon:10090	UBERON:0001384	CS202002013_3	PMID:34616066|PMID:33184512|PMID:34616066	ensembl:ENSMUSG00000024074|ensembl:ENSMUSG00000092094	ensembl:ENSMUSG00000027270|ensembl:ENSMUSG00000035105	MOp	Mouse	AllenDend:CS202002013_3		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_4	Lamp5 Egln3_3	Lamp5 Egln3_3|RNAseq 004	CL:0011005	NCBITaxon:10090	UBERON:0001384	CS202002013_4	PMID:34616066	ensembl:ENSMUSG00000020902|ensembl:ENSMUSG00000021508|ensembl:ENSMUSG00000042453	ensembl:ENSMUSG00000027270|ensembl:ENSMUSG00000035105	MOp	Mouse	AllenDend:CS202002013_4		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_5	Lamp5 Pdlim5_1	Lamp5 Pdlim5_1|Lamp5_1|RNAseq 005	CL:0011005	NCBITaxon:10090	UBERON:0001384	CS202002013_5	PMID:34616066|PMID:34616062	ensembl:ENSMUSG00000027971|ensembl:ENSMUSG00000044447|ensembl:ENSMUSG00000049001	ensembl:ENSMUSG00000027270|ensembl:ENSMUSG00000028273	MOp	Mouse	AllenDend:CS202002013_5		UBERON:0001384	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_1|http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_3
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_6	Lamp5 Pdlim5_2	Lamp5 Pdlim5_2|RNAseq 006	CL:0011005	NCBITaxon:10090	UBERON:0001384	CS202002013_6	PMID:34616066	ensembl:ENSMUSG00000049001|ensembl:ENSMUSG00000075270	ensembl:ENSMUSG00000027270|ensembl:ENSMUSG00000028273	MOp	Mouse	AllenDend:CS202002013_6		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_7	Lamp5 Slc35d3	Lamp5 Slc35d3|RNAseq 007	CL:0011005	NCBITaxon:10090	UBERON:0001384	CS202002013_7	PMID:34616066	ensembl:ENSMUSG00000022231|ensembl:ENSMUSG00000055471	ensembl:ENSMUSG00000027270|ensembl:ENSMUSG00000050473	MOp	Mouse	AllenDend:CS202002013_7		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_8	Lamp5 Lhx6	Lamp5 Lhx6|Lamp5_3|L5/6 neurogliaform cell|RNAseq 008	CL:0011005	NCBITaxon:10090	UBERON:0001384	CS202002013_8	PMID:34616066|PMID:34616062|PMID:33184512	ensembl:ENSMUSG00000029361|ensembl:ENSMUSG00000110002	ensembl:ENSMUSG00000026890|ensembl:ENSMUSG00000027270	MOp	Mouse	AllenDend:CS202002013_8		UBERON:0001384	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_153|http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912132_4
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_9	Sncg Col14a1	RNAseq 009|Sncg Col14a1	CL:0011005	NCBITaxon:10090	UBERON:0001384	CS202002013_9	PMID:34616066	ensembl:ENSMUSG00000015766|ensembl:ENSMUSG00000039385|ensembl:ENSMUSG00000058897	ensembl:ENSMUSG00000022371|ensembl:ENSMUSG00000023064	MOp	Mouse	AllenDend:CS202002013_9		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_10	Sncg Slc17a8	RNAseq 010|Sncg Slc17a8	CL:0011005	NCBITaxon:10090	UBERON:0001384	CS202002013_10	PMID:34616066	ensembl:ENSMUSG00000019935|ensembl:ENSMUSG00000048967	ensembl:ENSMUSG00000019935|ensembl:ENSMUSG00000023064	MOp	Mouse	AllenDend:CS202002013_10		UBERON:0001384	
